id	name	requests	accounts	rate
ALB	Albania	6	12	83.00
AUT	Austria	35	41	17.00
AUS	Australia	546	601	64.00
ARG	Argentina	152	218	27.00
BGD	Bangladesh	1	12	0
BRB	Barbados	3	3	0
BIH	Bosnia and Herzegovina	4	11	25.00
BEL	Belgium	150	169	70.00
BRA	Brazil	715	857	33.00
BWA	Botswana	3	7	0
BGR	Bulgaria	1	1	0
KHM	Cambodia	1	1	0
CAN	Canada	192	219	44
CHL	Chile	215	340	68
COL	Colombia	27	41	15
CRI	Costa Rica	4	6	0
HRV	Croatia	2	2	0
CYP	Cyprus	3	4	33.00
CZE	Czech Republic	10	13	60
DNK	Denmark	11	11	55
ECU	Ecuador	2	3	0
EGY	Egypt	8	11	0
SLV	El Salvador	2	2	0
FIN	Finland	12	15	75
FRA	France	1547	1598	39
DEU	Germany	1886	2068	37
GRC	Greece	122	141	54
HKG	Hong Kong	1	1	100
HUN	Hungary	25	24	36
ISL	Iceland	1	1	100
IRL	Ireland	34	40	71
IND	India	3245	4144	50
ISR	Israel	113	132	50
ITA	Italy	1705	2306	53
CIV	Cote d'Ivoire	4	4	0
JPN	Japan	1	1	0
KWT	Kosovo	2	11	0
LTU	Lithuania	6	7	17
MKD	Macedonia	9	11	33
MYS	Malaysia	7	197	0
173	Malta	89	97	60
MEX	Mexico	78	127	37
MNG	Mongolia	2	2	0
MNE	Montenegro	2	2	0
NPL	Nepal	3	3	33
NLD	Netherlands	11	15	36
NZL	New Zealand	106	119	58
NOR	Norway	16	16	31
PAK	Pakistan	35	47	77
PAN	Panama	2	2	0
PER	Peru	13	14	15
PHL	Philippines	4	4	25.00
POL	Poland	233	158	9
QAT	Qatar	3	3	0
PRT	Portugal	177	213	42
ROU	Romania	16	36	63
RUS	Russia	1	1	0
SRB	Serbia	1	1	0
SGP	Singapore	107	117	70
SVN	Slovenia	6	8	50
ZAF	South Africa	14	9	0
KOR	South Korea	7	15	14
ESP	Spain	479	715	51
SWE	Sweden	54	66	54
CHE	Switzerland	32	36	13
THA	Thailand	2	5	0
TWN	Taiwan	229	329	84
UGA	Uganda	1	1	0
TUR	Turkey	96	170	47
GBR	United Kingdom	1975	2337	68
USA	United States	11000	20500	79
