id	Country	Preservation Requests	Preservation Accounts Preserved	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Legal Process Request Total	Legal Process Request Total Accounts	Legal Process Request Total Percentage	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Emergency Disclosures Accounts	Emergency Disclosures	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III,Title III Accounts	Title III Percentage	Title III	Title III Accounts	NSLs	NSLs Accounts
ALB	Albania			13.0	29.0	83.75																														
198	Andorra			2	2	0%																														
ARG	Argentina			1460.0	1741.0	58.715																														
ARM	Armenia			13.0	14.0	77.5																														
AUS	Australia			1495.0	1590.0	69.255																														
AUT	Austria			112.0	121.0	34.769999999999996																														
BGD	Bangladesh			15.0	34.0	8.335																														
BEL	Belgium			571.0	731.0	72.96000000000001																														
BIH	Bosnia and Herzegovina			22.0	45.0	31.765																														
BWA	Botswana			2	2	0%																														
BRA	Brazil			2920.0	4627.0	40.605000000000004																														
BRN	Brunei			3.0	3.0	25.0																														
BGR	Bulgaria			2	2	100.00%																														
KHM	Cambodia			1	1	0%																														
CAN	Canada			837.0	1063.0	79.205																														
CHL	Chile			595.0	991.0	61.394999999999996																														
CHN	China			0	0	0%																														
COL	Colombia			267.0	434.0	53.625																														
CRI	Costa Rica			1	1	0%																														
HRV	Croatia			29.0	33.0	67.675																														
CYP	Cyprus			18.0	20.0	11.25																														
CZE	Czech Republic			51.0	59.0	57.355000000000004																														
DNK	Denmark			66.0	120.0	39.980000000000004																														
DOM	Dominican Republic			178.0	212.0	56.465																														
