Year	id	Country	Preservation Requests	Preservation Accounts Preserved	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Legal Process Request Total	Legal Process Request Total Accounts	Legal Process Request Total Percentage	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Emergency Disclosures Accounts	Emergency Disclosures	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III,Title III Accounts	Title III Percentage	Title III	Title III Accounts	NSLs	NSLs Accounts
2013	ALB	Albania			12.0	21.0	83.16499999999999																														
2013	AUT	Austria			63.0	73.0	15.645																														
2013	AUS	Australia			1149.0	1241.0	64.755																														
2013	ARG	Argentina			430.0	632.0	22.675																														
2013	BGD	Bangladesh			1.0	12.0	0.0																														
2013	180	Barbados			3	3	0%																														
2013	BIH	Bosnia and Herzegovina			8.0	16.0	37.5																														
2013	BEL	Belgium			304.0	365.0	67.47																														
2013	BRA	Brazil			1880.0	2508.0	33.41																														
2013	BWA	Botswana			4.0	8.0	0.0																														
2013	BGR	Bulgaria			3.0	3.0	25.0																														
2013	KHM	Cambodia			2.0	2.0	0.0																														
2013	CAN	Canada			366.0	436.0	47.0																														
2013	CHL	Chile			445.0	674.0	66.175																														
2013	COL	Colombia			48.0	68.0	17.025																														
2013	CRI	Costa Rica			13.0	20.0	5.555																														
2013	HRV	Croatia			9.0	16.0	21.43																														
2013	CYP	Cyprus			6.0	7.0	66.5																														
2013	CZE	Czech Republic			24.0	32.0	69.285																														
2013	DNK	Denmark			23.0	22.0	44.165																														
2013	ECU	Ecuador			4.0	4.0	0.0																														
2013	EGY	Egypt			14.0	17.0	0.0																														
2013	SLV	El Salvador			2	2	0%																														
2013	FIN	Finland			23.0	27.0	69.32																														
2013	FRA	France			3208.0	3443.0	36.45																														
2013	DEU	Germany			3573.0	4018.0	37.44																														
2013	GRC	Greece			237.0	289.0	52.215																														
2013	HKG	Hong Kong			26.0	327.0	94.0																														
2013	HUN	Hungary			63.0	75.0	32.475																														
2013	ISL	Iceland			1	1	100.00%																														
2013	IRL	Ireland			69.0	76.0	66.93																														
2013	IND	India			6843.0	8855.0	51.78																														
2013	ISR	Israel			242.0	272.0	50.58																														
2013	ITA	Italy			3404.0	4919.0	52.75																														
2013	CIV	Ivory Coast			5.0	5.0	50.0																														
2013	JPN	Japan			1	1	0%																														
2013	OSA	Kosovo			3.0	13.0	50.0																														
2013	LTU	Lithuania			15.0	17.0	30.72																														
2013	MKD	Macedonia			15.0	25.0	58.165																														
2013	MYS	Malaysia			23.0	221.0	9.375																														
2013	173	Malta			170.0	224.0	60.864999999999995																														
2013	MEX	Mexico			203.0	339.0	45.3																														
2013	MNG	Mongolia			2	2	0%																														
