Id	Country	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced
ALB	Albania	6	12	83.00%
AUT	Austria	35	41	17.00%
AUS	Australia	546	601	64.00%
ARG	Argentina	152	218	27.00%
BGD	Bangladesh	1	12	0%
180	Barbados	3	3	0%
BIH	Bosnia and Herzegovina	4	11	25.00%
BEL	Belgium	150	169	70.00%
BRA	Brazil	715	857	33.00%
BWA	Botswana	3	7	0%
BGR	Bulgaria	1	1	0%
KHM	Cambodia	1	1	0%
CAN	Canada	192	219	44.00%
CHL	Chile	215	340	68.00%
COL	Colombia	27	41	15.00%
CRI	Costa Rica	4	6	0%
HRV	Croatia	2	2	0%
CYP	Cyprus	3	4	33.00%
CZE	Czech Republic	10	13	60.00%
DNK	Denmark	11	11	55.00%
ECU	Ecuador	2	3	0%
EGY	Egypt	8	11	0%
SLV	El Salvador	2	2	0%
FIN	Finland	12	15	75.00%
FRA	France	1,547	1,598	39.00%
DEU	Germany	1,886	2,068	37.00%
GRC	Greece	122	141	54.00%
HKG	Hong Kong	1	1	100.00%
HUN	Hungary	25	24	36.00%
ISL	Iceland	1	1	100.00%
IRL	Ireland	34	40	71.00%
IND	India	3,245	4,144	50.00%
ISR	Israel	113	132	50.00%
ITA	Italy	1,705	2,306	53.00%
CIV	Ivory Coast	4	4	0%
JPN	Japan	1	1	0%
OSA	Kosovo	2	11	0%
LTU	Lithuania	6	7	17.00%
MKD	Macedonia	9	11	33.00%
MYS	Malaysia	7	197	0%
173	Malta	89	97	60.00%
MEX	Mexico	78	127	37.00%
MNG	Mongolia	2	2	0%
MNE	Montenegro	2	2	0%
NPL	Nepal	3	3	33.00%
NLD	Netherlands	11	15	36.00%
NZL	New Zealand	106	119	58.00%
NOR	Norway	16	16	31.00%
PAK	Pakistan	35	47	77.00%
PAN	Panama	2	2	0%
PER	Peru	13	14	15.00%
PHL	Philippines	4	4	25.00%
POL	Poland	233	158	9.00%
QAT	Qatar	3	3	0%
PRT	Portugal	177	213	42.00%
ROU	Romania	16	36	63.00%
RUS	Russia	1	1	0%
SRB	Serbia	1	1	0%
SGP	Singapore	107	117	70.00%
SVN	Slovenia	6	8	50.00%
ZAF	South Africa	14	9	0%
KOR	South Korea	7	15	14.00%
ESP	Spain	479	715	51.00%
SWE	Sweden	54	66	54.00%
CHE	Switzerland	32	36	13.00%
THA	Thailand	2	5	0%
TWN	Taiwan	229	329	84.00%
UGA	Uganda	1	1	0%
TUR	Turkey	96	170	47.00%
GBR	United Kingdom	1,975	2,337	68.00%
USA	United States	11,000 - 12,000	20,000 - 21,000	79.00%
